freq (Hz),x0 (mm),x1 (mm),x2 (mm),x3 (mm),y0 (mm),y1 (mm),y2 (mm),y3 (mm),sum_sii (dB),sum_sij (db)
3.4,-24.41,-75.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-13.80529759,-179.9704482
3.4,-24.41,-75.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-13.24281425,-192.9657036
3.4,-24.41,-75.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-13.18035129,-197.2984039
3.4,-24.41,-75.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-13.04204757,-200.775229
3.4,-24.41,-75.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-13.61201216,-206.2286236
3.4,-24.41,-75.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-13.27488895,-204.5582397
3.4,-24.41,-75.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-13.05782838,-201.8589222
3.4,-24.41,-60.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-13.14996527,-199.3912706
3.4,-24.41,-60.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-13.02529104,-200.0893835
3.4,-24.41,-60.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-13.4848612,-166.4329047
3.4,-24.41,-60.01,24.41,24.41,-16.41,61.41,-16.41,16.41,-13.80523155,-175.795757
3.4,-24.41,-60.01,24.41,24.41,-16.41,76.41,-16.41,16.41,-13.46638321,-181.1256556
3.4,-24.41,-60.01,24.41,24.41,-16.41,91.41,-16.41,16.41,-13.02480465,-186.5539503
3.4,-24.41,-60.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-13.29902527,-189.6247777
3.4,-24.41,-60.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-13.32269231,-191.0933292
3.4,-24.41,-60.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-13.69510883,-189.283338
3.4,-24.41,-45.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-13.26036511,-187.7954249
3.4,-24.41,-45.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-12.70914131,-191.5996611
3.4,-24.41,-45.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-13.35329372,-153.2003682
3.4,-24.41,-45.01,24.41,24.41,-16.41,61.41,-16.41,16.41,-13.71314284,-162.3023933
3.4,-24.41,-45.01,24.41,24.41,-16.41,76.41,-16.41,16.41,-13.25357869,-169.4357548
3.4,-24.41,-45.01,24.41,24.41,-16.41,91.41,-16.41,16.41,-13.79675451,-173.1394099
3.4,-24.41,-45.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-13.6747652,-175.856132
3.4,-24.41,-45.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-13.4826931,-179.0521553
3.4,-24.41,-45.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-13.04038979,-183.7488066
3.4,-24.41,-30.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-13.90587892,-178.9564783
3.4,-24.41,-30.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-12.55532911,-184.3997115
3.4,-24.41,-30.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-13.95423166,-136.7645103
3.4,-24.41,-30.01,24.41,24.41,-16.41,61.41,-16.41,16.41,-13.6481336,-150.257421
3.4,-24.41,-30.01,24.41,24.41,-16.41,76.41,-16.41,16.41,-13.10326628,-159.3990035
3.4,-24.41,-30.01,24.41,24.41,-16.41,91.41,-16.41,16.41,-13.33526189,-165.3184292
3.4,-24.41,-30.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-13.21786542,-167.7099872
3.4,-24.41,-30.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-13.1026444,-171.2551861
3.4,-24.41,-30.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-13.56125434,-175.5042733
3.4,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,16.41,-13.60298597,-174.8453254
3.4,-24.41,-24.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-12.75695916,-178.2967067
3.4,-24.41,-24.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-12.9653974,-133.4966903
3.4,-24.41,-24.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-14.30197974,-129.308351
3.4,-24.41,-24.01,24.41,24.41,-16.41,61.41,-16.41,16.41,-13.69146693,-145.0795567
3.4,-24.41,-24.01,24.41,24.41,-16.41,76.41,-16.41,16.41,-13.30068015,-154.7042035
3.4,-24.41,-24.01,24.41,24.41,-16.41,91.41,-16.41,16.41,-13.46756259,-161.5190663
3.4,-24.41,-24.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-13.4931325,-163.6249696
3.4,-24.41,-24.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-13.53143878,-166.877683
3.4,-24.41,-24.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-13.1709292,-174.2140148
3.4,-24.41,-24.41,24.01,24.41,-16.41,16.41,-16.41,16.41,-13.6189487,-173.0850016
3.4,-24.41,-24.41,39.01,24.41,-16.41,16.41,-16.41,16.41,-12.65525077,-176.8891367
3.4,-24.41,-24.41,54.01,24.41,-16.41,16.41,-16.41,16.41,-13.6918929,-131.031039
3.4,-24.41,-24.41,69.01,24.41,-16.41,16.41,-16.41,16.41,-13.22542115,-146.4939544
3.4,-24.41,-24.41,75.01,24.41,-16.41,16.41,-16.41,16.41,-13.09743308,-160.6255786
3.4,-24.41,-24.41,24.01,24.41,-16.41,16.41,-131.41,16.41,-13.19125219,-174.2045616
3.4,-24.41,-24.41,39.01,24.41,-16.41,16.41,-131.41,16.41,-13.35668513,-180.2089174
3.4,-24.41,-24.41,54.01,24.41,-16.41,16.41,-131.41,16.41,-13.30569517,-174.7013651
3.4,-24.41,-24.41,69.01,24.41,-16.41,16.41,-131.41,16.41,-13.24719413,-179.8288811
3.4,-24.41,-24.41,75.01,24.41,-16.41,16.41,-131.41,16.41,-13.13949456,-186.9538286
3.4,-24.41,-24.41,24.01,24.41,-16.41,16.41,-116.41,16.41,-12.76144104,-197.7001924
3.4,-24.41,-24.41,39.01,24.41,-16.41,16.41,-116.41,16.41,-13.89334204,-198.2743307
3.4,-24.41,-24.41,54.01,24.41,-16.41,16.41,-116.41,16.41,-13.06458672,-176.7044091
3.4,-24.41,-24.41,69.01,24.41,-16.41,16.41,-116.41,16.41,-13.4373659,-180.6212447
3.4,-24.41,-24.41,75.01,24.41,-16.41,16.41,-116.41,16.41,-13.79777379,-185.6495149
3.4,-24.41,-24.41,24.01,24.41,-16.41,16.41,-101.41,16.41,-13.34569622,-195.7583078
3.4,-24.41,-24.41,39.01,24.41,-16.41,16.41,-101.41,16.41,-13.27867932,-200.7446245
3.4,-24.41,-24.41,54.01,24.41,-16.41,16.41,-101.41,16.41,-13.20483871,-172.4449669
3.4,-24.41,-24.41,69.01,24.41,-16.41,16.41,-101.41,16.41,-13.43820502,-179.2423655
3.4,-24.41,-24.41,75.01,24.41,-16.41,16.41,-101.41,16.41,-13.27259003,-188.6772639
3.4,-24.41,-24.41,24.01,24.41,-16.41,16.41,-86.41,16.41,-13.33334346,-197.7324808
3.4,-24.41,-24.41,39.01,24.41,-16.41,16.41,-86.41,16.41,-13.6013228,-201.6415334
3.4,-24.41,-24.41,54.01,24.41,-16.41,16.41,-86.41,16.41,-13.95626707,-164.5173336
3.4,-24.41,-24.41,69.01,24.41,-16.41,16.41,-86.41,16.41,-13.58237494,-174.5024682
3.4,-24.41,-24.41,75.01,24.41,-16.41,16.41,-86.41,16.41,-13.44956269,-186.5462044
3.4,-24.41,-24.41,24.01,24.41,-16.41,16.41,-71.41,16.41,-13.5299316,-199.4662244
3.4,-24.41,-24.41,39.01,24.41,-16.41,16.41,-71.41,16.41,-13.15012498,-206.1859571
3.4,-24.41,-24.41,54.01,24.41,-16.41,16.41,-71.41,16.41,-13.29264588,-165.7169673
3.4,-24.41,-24.41,69.01,24.41,-16.41,16.41,-71.41,16.41,-13.30944364,-176.4110552
3.4,-24.41,-24.41,75.01,24.41,-16.41,16.41,-71.41,16.41,-13.64294886,-190.83916
3.4,-24.41,-24.41,24.01,24.41,-16.41,16.41,-56.41,16.41,-13.20457494,-217.2395434
3.4,-24.41,-24.41,39.01,24.41,-16.41,16.41,-56.41,16.41,-13.53325701,-218.027085
3.4,-24.41,-24.41,54.01,24.41,-16.41,16.41,-56.41,16.41,-13.06313634,-160.707867
3.4,-24.41,-24.41,69.01,24.41,-16.41,16.41,-56.41,16.41,-13.20089756,-170.0676944
3.4,-24.41,-24.41,75.01,24.41,-16.41,16.41,-56.41,16.41,-13.61181994,-180.1542516
3.4,-24.41,-24.41,24.01,24.41,-16.41,16.41,-41.41,16.41,-13.48695463,-194.5128837
3.4,-24.41,-24.41,39.01,24.41,-16.41,16.41,-41.41,16.41,-13.20607863,-201.8412495
3.4,-24.41,-24.41,54.01,24.41,-16.41,16.41,-41.41,16.41,-12.9854866,-151.7981786
3.4,-24.41,-24.41,69.01,24.41,-16.41,16.41,-41.41,16.41,-13.61712103,-161.2738183
3.4,-24.41,-24.41,75.01,24.41,-16.41,16.41,-41.41,16.41,-13.55432974,-174.5859429
3.4,-24.41,-24.41,24.01,24.41,-16.41,16.41,-26.41,16.41,-13.29783791,-190.4199793
3.4,-24.41,-24.41,39.01,24.41,-16.41,16.41,-26.41,16.41,-13.29031147,-197.1968046
3.4,-24.41,-24.41,54.01,24.41,-16.41,16.41,-26.41,16.41,-14.22390816,-140.5745654
3.4,-24.41,-24.41,69.01,24.41,-16.41,16.41,-26.41,16.41,-13.56188616,-154.9999653
3.4,-24.41,-24.41,75.01,24.41,-16.41,16.41,-26.41,16.41,-13.56855741,-167.9316375
3.4,-24.41,-24.41,24.41,39.41,-16.41,16.41,-16.41,16.41,-13.32102124,-182.7520595
3.4,-24.41,-24.41,24.41,54.41,-16.41,16.41,-16.41,16.41,-13.18172679,-189.6207863
3.4,-24.41,-24.41,24.41,69.41,-16.41,16.41,-16.41,16.41,-13.42162566,-148.5082637
3.4,-24.41,-24.41,24.41,75.01,-16.41,16.41,-16.41,16.41,-13.18692946,-162.7681229
3.4,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,31.41,-13.47685733,-174.4132497
3.4,-24.41,-24.41,24.41,39.41,-16.41,16.41,-16.41,31.41,-13.31298897,-179.7046009
3.4,-24.41,-24.41,24.41,54.41,-16.41,16.41,-16.41,31.41,-13.63908745,-144.6546843
3.4,-24.41,-24.41,24.41,69.41,-16.41,16.41,-16.41,31.41,-13.56307177,-154.0464728
3.4,-24.41,-24.41,24.41,75.01,-16.41,16.41,-16.41,31.41,-13.9657184,-163.5089346
3.4,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,46.41,-13.59763674,-175.6107635
3.4,-24.41,-24.41,24.41,39.41,-16.41,16.41,-16.41,46.41,-13.18830348,-181.1884099
3.4,-24.41,-24.41,24.41,54.41,-16.41,16.41,-16.41,46.41,-13.21749928,-151.7533303
3.4,-24.41,-24.41,24.41,69.41,-16.41,16.41,-16.41,46.41,-13.23305219,-158.5872202
3.4,-24.41,-24.41,24.41,75.01,-16.41,16.41,-16.41,46.41,-12.957749,-167.8886568
3.4,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,61.41,-13.81794205,-175.7451684
3.4,-24.41,-24.41,24.41,39.41,-16.41,16.41,-16.41,61.41,-13.21213578,-181.7200309
3.4,-24.41,-24.41,24.41,54.41,-16.41,16.41,-16.41,61.41,-14.07825774,-153.6771313
3.4,-24.41,-24.41,24.41,69.41,-16.41,16.41,-16.41,61.41,-13.15981975,-161.4095305
3.4,-24.41,-24.41,24.41,75.01,-16.41,16.41,-16.41,61.41,-12.99322857,-169.0115718
3.4,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,76.41,-13.20455122,-178.2266702
3.4,-24.41,-24.41,24.41,39.41,-16.41,16.41,-16.41,76.41,-13.00286125,-183.2026187
3.4,-24.41,-24.41,24.41,54.41,-16.41,16.41,-16.41,76.41,-13.28379027,-158.3079822
3.4,-24.41,-24.41,24.41,69.41,-16.41,16.41,-16.41,76.41,-13.36811716,-162.857712
3.4,-24.41,-24.41,24.41,75.01,-16.41,16.41,-16.41,76.41,-13.2188657,-170.0940498
3.4,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,91.41,-13.5245558,-178.1155821
3.4,-24.41,-24.41,24.41,39.41,-16.41,16.41,-16.41,91.41,-13.38625697,-182.2447848
3.4,-24.41,-24.41,24.41,54.41,-16.41,16.41,-16.41,91.41,-13.36916098,-162.7948373
3.4,-24.41,-24.41,24.41,69.41,-16.41,16.41,-16.41,91.41,-13.63337853,-166.6393137
3.4,-24.41,-24.41,24.41,75.01,-16.41,16.41,-16.41,91.41,-13.56474573,-172.7242195
3.4,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,106.41,-13.23899475,-180.4217603
3.4,-24.41,-24.41,24.41,39.41,-16.41,16.41,-16.41,106.41,-13.88914766,-181.9787311
3.4,-24.41,-24.41,24.41,54.41,-16.41,16.41,-16.41,106.41,-13.111524,-170.1518932
3.4,-24.41,-24.41,24.41,69.41,-16.41,16.41,-16.41,106.41,-13.242397,-172.9882935
3.4,-24.41,-24.41,24.41,75.01,-16.41,16.41,-16.41,106.41,-13.54290257,-176.2546316
3.4,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,121.41,-13.19118936,-183.3843599
3.4,-24.41,-24.41,24.41,39.41,-16.41,16.41,-16.41,121.41,-13.47802043,-186.0148961
3.4,-24.41,-24.41,24.41,54.41,-16.41,16.41,-16.41,121.41,-13.32651493,-171.5408259
3.4,-24.41,-24.41,24.41,69.41,-16.41,16.41,-16.41,121.41,-14.21806018,-171.7466039
3.4,-24.41,-24.41,24.41,75.01,-16.41,16.41,-16.41,121.41,-13.17280218,-178.6160818
3.4,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,131.41,-13.34990915,-185.8639487
3.4,-24.41,-24.41,24.41,39.41,-16.41,16.41,-16.41,131.41,-13.51983635,-189.5820853
3.4,-24.41,-24.41,24.41,54.41,-16.41,16.41,-16.41,131.41,-13.05287335,-174.0059606
3.4,-24.41,-24.41,24.41,69.41,-16.41,16.41,-16.41,131.41,-12.64569922,-178.4737145
3.4,-24.41,-24.41,24.41,75.01,-16.41,16.41,-16.41,131.41,-12.90434709,-183.0378364
3.4,-75.01,-24.41,24.41,24.41,-16.41,16.41,-16.41,16.41,-12.87045501,-190.711336
